strain	accession	date	region	country	location
G22929	6551	2020-03-17	North America	USA	community A
G22975	3027	2020-03-30	North America	USA	community A
G22770	2896	2020-03-11	North America	USA	community A
G23075	831	2020-03-28	North America	USA	community A
G23536	6911	2020-03-06	North America	USA	community A
G23096	8045	2020-03-28	North America	USA	community A
G23488	7828	2020-03-25	North America	USA	community A
G23128	8083	2020-03-25	North America	USA	community A
G23497	8214	2020-03-23	North America	USA	community A
G22814	184	2020-03-28	North America	USA	community A
G22872	8539	2020-03-12	North America	USA	community A
G23639	3390	2020-03-27	North America	USA	community A
G23017	5610	2020-03-20	North America	USA	community A
G23147	5897	2020-03-25	North America	USA	community A
G23320	7036	2020-03-08	North America	USA	community A
G23296	7003	2020-03-20	North America	USA	community A
G23607	2193	2020-03-30	North America	USA	community A
G22734	7760	2020-03-23	North America	USA	community A
G23474	2823	2020-03-27	North America	USA	community A
G22926	3538	2020-03-28	North America	USA	community A
G23545	4154	2020-03-23	North America	USA	community A
G23058	2606	2020-03-29	North America	USA	community A
G22893	7012	2020-03-15	North America	USA	community A
G23172	5353	2020-03-07	North America	USA	community A
G23523	6822	2020-03-28	North America	USA	community A
G22998	6219	2020-03-18	North America	USA	community A
G22914	1720	2020-03-17	North America	USA	community A
G23380	2363	2020-03-12	North America	USA	community A
G22711	1976	2020-03-30	North America	USA	community A
G23353	7948	2020-03-20	North America	USA	community A
G23631	7695	2020-03-20	North America	USA	community A
G23054	8358	2020-03-14	North America	USA	community A
G23499	6074	2020-03-20	North America	USA	community A
G23609	4653	2020-03-20	North America	USA	community A
G23354	68	2020-03-17	North America	USA	community A
G23442	7590	2020-03-28	North America	USA	community A
G22886	5532	2020-03-31	North America	USA	community A
G23254	2054	2020-03-27	North America	USA	community A
G22670	1000	2020-03-01	North America	USA	community B
G22677	2797	2020-03-14	North America	USA	community B
G22682	8058	2020-03-31	North America	USA	community B
G22708	9382	2020-03-20	North America	USA	community B
G22742	7563	2020-03-25	North America	USA	community B
G22749	6470	2020-03-12	North America	USA	community B
G22763	712	2020-03-25	North America	USA	community B
G22792	6551	2020-03-20	North America	USA	community B
G22796	3582	2020-03-15	North America	USA	community B
G22818	9861	2020-03-28	North America	USA	community B
G22824	2917	2020-03-02	North America	USA	community B
G22831	202	2020-03-30	North America	USA	community B
G22837	9640	2020-03-27	North America	USA	community B
G22838	4269	2020-03-28	North America	USA	community B
G22850	4507	2020-03-20	North America	USA	community B
G22854	1586	2020-03-20	North America	USA	community B
G22870	6412	2020-03-14	North America	USA	community B
G22873	9607	2020-03-03	North America	USA	community B
G22890	8235	2020-03-30	North America	USA	community B
G22910	5311	2020-03-20	North America	USA	community B
G22921	7683	2020-03-27	North America	USA	community B
G22924	9046	2020-03-20	North America	USA	community B
G22939	4717	2020-03-28	North America	USA	community B
G22958	4788	2020-03-31	North America	USA	community B
G22963	4464	2020-03-11	North America	USA	community B
G22964	3849	2020-03-31	North America	USA	community B
G22966	1817	2020-03-12	North America	USA	community B
G22983	675	2020-03-25	North America	USA	community B
G22990	5757	2020-03-09	North America	USA	community B
G22991	9033	2020-03-28	North America	USA	community B
G23009	3804	2020-03-27	North America	USA	community B
G23032	7546	2020-03-20	North America	USA	community B
G23047	8676	2020-03-19	North America	USA	community B
G23052	3570	2020-03-14	North America	USA	community B
G23067	165	2020-03-28	North America	USA	community B
G23068	7918	2020-03-25	North America	USA	community B
G23087	8069	2020-03-28	North America	USA	community B
G23097	5897	2020-03-30	North America	USA	community B
G23101	2172	2020-03-17	North America	USA	community B
G23102	2854	2020-03-12	North America	USA	community B
G23122	9671	2020-03-27	North America	USA	community B
G23123	2006	2020-03-30	North America	USA	community B
G23142	1219	2020-03-30	North America	USA	community B
G23143	3441	2020-03-28	North America	USA	community B
G23157	2453	2020-03-28	North America	USA	community B
G23165	3823	2020-03-12	North America	USA	community B
