strain	accession	date	region	country	location
G23041	3722	2020-03-12	North America	USA	community A
G23116	7587	2020-03-17	North America	USA	community A
G22867	1838	2020-03-14	North America	USA	community A
G23296	7003	2020-03-20	North America	USA	community A
G22757	3765	2020-03-14	North America	USA	community A
G22734	7760	2020-03-23	North America	USA	community A
G23354	68	2020-03-17	North America	USA	community A
G23335	2215	2020-03-10	North America	USA	community A
G22929	6551	2020-03-17	North America	USA	community A
G23623	659	2020-03-28	North America	USA	community A
G23412	7621	2020-03-28	North America	USA	community A
G22814	184	2020-03-28	North America	USA	community A
G22821	7942	2020-03-31	North America	USA	community A
G22914	1720	2020-03-17	North America	USA	community A
G23054	8358	2020-03-14	North America	USA	community A
G23525	5207	2020-03-10	North America	USA	community A
G23653	1994	2020-03-28	North America	USA	community A
G22712	5845	2020-03-28	North America	USA	community A
G22782	7519	2020-03-10	North America	USA	community A
G23607	2193	2020-03-30	North America	USA	community A
G23474	2823	2020-03-27	North America	USA	community A
G23488	7828	2020-03-25	North America	USA	community A
G23394	1153	2020-03-23	North America	USA	community A
G23096	8045	2020-03-28	North America	USA	community A
G23075	831	2020-03-28	North America	USA	community A
G23536	6911	2020-03-06	North America	USA	community A
G22981	9529	2020-03-25	North America	USA	community A
G23254	2054	2020-03-27	North America	USA	community A
G23353	7948	2020-03-20	North America	USA	community A
G23556	6176	2020-03-12	North America	USA	community A
G22880	5890	2020-03-09	North America	USA	community A
G22768	2077	2020-03-20	North America	USA	community A
G23609	4653	2020-03-20	North America	USA	community A
G23631	7695	2020-03-20	North America	USA	community A
G22998	6219	2020-03-18	North America	USA	community A
G23523	6822	2020-03-28	North America	USA	community A
G23602	9201	2020-03-18	North America	USA	community A
G23038	7798	2020-03-25	North America	USA	community A
G23591	7069	2020-03-09	North America	USA	community B
G23478	6855	2020-03-21	North America	USA	community B
G22763	712	2020-03-25	North America	USA	community B
G23165	3823	2020-03-12	North America	USA	community B
G23414	5646	2020-03-27	North America	USA	community B
G23517	5823	2020-03-25	North America	USA	community B
G23651	7349	2020-03-15	North America	USA	community B
G23067	165	2020-03-28	North America	USA	community B
G22964	3849	2020-03-31	North America	USA	community B
G22854	1586	2020-03-20	North America	USA	community B
G23285	2997	2020-03-09	North America	USA	community B
G22818	9861	2020-03-28	North America	USA	community B
