strain	accession	date	region	country	location
G22886	5532	2020-03-31	North America	USA	community A
G23474	2823	2020-03-27	North America	USA	community A
G22770	2896	2020-03-11	North America	USA	community A
G23625	9051	2020-03-14	North America	USA	community A
G23442	7590	2020-03-28	North America	USA	community A
G22975	3027	2020-03-30	North America	USA	community A
G23172	5353	2020-03-07	North America	USA	community A
G23058	2606	2020-03-29	North America	USA	community A
G23075	831	2020-03-28	North America	USA	community A
G23523	6822	2020-03-28	North America	USA	community A
G23287	5469	2020-03-21	North America	USA	community A
G23330	1838	2020-03-18	North America	USA	community A
G22702	2240	2020-03-09	North America	USA	community A
G23412	7621	2020-03-28	North America	USA	community A
G22981	9529	2020-03-25	North America	USA	community A
G23163	1479	2020-03-09	North America	USA	community A
G22866	5122	2020-03-28	North America	USA	community A
G23254	2054	2020-03-27	North America	USA	community A
G23096	8045	2020-03-28	North America	USA	community A
G23609	4653	2020-03-20	North America	USA	community A
G23499	6074	2020-03-20	North America	USA	community A
G23653	1994	2020-03-28	North America	USA	community A
G23497	8214	2020-03-23	North America	USA	community A
G23479	6884	2020-03-28	North America	USA	community A
G23116	7587	2020-03-17	North America	USA	community A
G23394	1153	2020-03-23	North America	USA	community A
G23041	3722	2020-03-12	North America	USA	community A
G23556	6176	2020-03-12	North America	USA	community A
G23147	5897	2020-03-25	North America	USA	community A
G22893	7012	2020-03-15	North America	USA	community A
G23602	9201	2020-03-18	North America	USA	community A
G22711	1976	2020-03-30	North America	USA	community A
G23488	7828	2020-03-25	North America	USA	community A
G23335	2215	2020-03-10	North America	USA	community A
G23525	5207	2020-03-10	North America	USA	community A
G23296	7003	2020-03-20	North America	USA	community A
G22926	3538	2020-03-28	North America	USA	community A
G22757	3765	2020-03-14	North America	USA	community A
G23591	7069	2020-03-09	North America	USA	community B
G23524	6555	2020-03-31	North America	USA	community B
G23032	7546	2020-03-20	North America	USA	community B
G22983	675	2020-03-25	North America	USA	community B
G23478	6855	2020-03-21	North America	USA	community B
G22873	9607	2020-03-03	North America	USA	community B
G23660	5936	2020-03-04	North America	USA	community B
G23511	2114	2020-03-10	North America	USA	community B
G23377	3655	2020-03-15	North America	USA	community B
G23333	4615	2020-03-10	North America	USA	community B
G23157	2453	2020-03-28	North America	USA	community B
G23047	8676	2020-03-19	North America	USA	community B
G23237	2147	2020-03-28	North America	USA	community B
G23209	663	2020-03-28	North America	USA	community B
G23189	198	2020-03-04	North America	USA	community B
G23265	8257	2020-03-17	North America	USA	community B
G23486	2126	2020-03-12	North America	USA	community B
G23297	850	2020-03-27	North America	USA	community B
G23346	110	2020-03-12	North America	USA	community B
G22824	2917	2020-03-02	North America	USA	community B
G22682	8058	2020-03-31	North America	USA	community B
G23122	9671	2020-03-27	North America	USA	community B
G23285	2997	2020-03-09	North America	USA	community B
G23238	2808	2020-03-12	North America	USA	community B
G22910	5311	2020-03-20	North America	USA	community B
G23052	3570	2020-03-14	North America	USA	community B
G23594	4546	2020-03-05	North America	USA	community B
G23102	2854	2020-03-12	North America	USA	community B
G23087	8069	2020-03-28	North America	USA	community B
G23068	7918	2020-03-25	North America	USA	community B
G23566	1311	2020-03-30	North America	USA	community B
G23459	6073	2020-03-12	North America	USA	community B
G23384	2603	2020-03-25	North America	USA	community B
G23101	2172	2020-03-17	North America	USA	community B
G23165	3823	2020-03-12	North America	USA	community B
G23253	685	2020-03-10	North America	USA	community B
G22958	4788	2020-03-31	North America	USA	community B
G23067	165	2020-03-28	North America	USA	community B
G23550	7514	2020-03-18	North America	USA	community B
G23387	1721	2020-03-12	North America	USA	community B
G23356	2468	2020-03-25	North America	USA	community B
G22854	1586	2020-03-20	North America	USA	community B
G23517	5823	2020-03-25	North America	USA	community B
G23123	2006	2020-03-30	North America	USA	community B
G23575	9990	2020-03-08	North America	USA	community B
G22966	1817	2020-03-12	North America	USA	community B
G23651	7349	2020-03-15	North America	USA	community B
G23143	3441	2020-03-28	North America	USA	community B
G23565	1823	2020-03-13	North America	USA	community B
